title	organization	location	mode	duration_weeks	stipend_per_month	description	requirements	req_1	req_2	req_3	req_4	req_5	req_6
AI Research Intern	IIT Delhi	Delhi	Onsite	12	35000	Work with faculty on AI research projects: implement models, run experiments, analyze results and document findings.	Python; Machine Learning; Research	Python	Machine Learning	Research			
Marketing Intern	Unilever	Mumbai	Onsite	12	18000	Support marketing campaigns, analyze audiences, assist in content and performance reporting across digital channels.	SEO; Digital Marketing; Communication	SEO	Digital Marketing	Communication			
Environment Intern	WWF India	Bhopal	Onsite	12	10000	Assist field research, process environmental datasets, and support conservation reporting and outreach.	Research; Data Analysis; Environmental Science	Research	Data Analysis	Environmental Science			
IoT Intern	TCS	Kolkata	Onsite	12	30000	Develop microcontroller prototypes, integrate sensors, and collect/telemetry and prototype IoT solutions.	IoT; Arduino; Sensors	IoT	Arduino	Sensors			
NGO Support Intern	SaveTheChildren	Jaipur	Onsite	8	8000	Support community programs, coordinate field reporting and assist with beneficiary communications.	Community Work; Reporting	Community Work	Reporting				
Finance Intern	HDFC Bank	Delhi	Onsite	12	25000	Assist with accounting tasks, financial analysis, reconciliations and Excel-based financial models.	Finance; Accounting; Excel	Finance	Accounting	Excel			
Journalism Intern	Times of India	Mumbai	Onsite	12	15000	Research and report news stories, conduct interviews and produce copy for print and online.	Writing; Reporting; Communication	Writing	Reporting	Communication			
Data Analyst Intern	Infosys	Bangalore	Onsite	12	30000	Analyze business datasets, write SQL queries, build dashboards and present actionable insights.	Python; SQL; Data Analysis	Python	SQL	Data Analysis			
Law Intern	High Court	Delhi	Onsite	12	12000	Conduct legal research, prepare briefs and draft supporting documentation for senior counsel.	Legal Research; Documentation	Legal Research	Documentation				
Teaching Intern	Khan Academy	Remote	Remote	8	0	Create and deliver online learning content, support students and produce clear explanatory material.	Math; Science; Communication	Math	Science	Communication			
Healthcare Intern	Apollo Hospitals	Chennai	Onsite	12	20000	Support clinical data collection, assist in patient liaison and prepare healthcare reports.	Biology; Healthcare; Reporting	Biology	Healthcare	Reporting			
Cybersecurity Intern	Wipro	Hyderabad	Onsite	12	30000	Assist in security assessments, monitoring, vulnerability scanning and configuring Linux-based tools.	Networking; Security; Linux	Networking	Security	Linux			
HR Intern	Accenture	Gurgaon	Onsite	12	20000	Support recruitment workflows, schedule interviews, maintain candidate trackers and assist HR ops.	HR; Communication; Recruitment	HR	Communication	Recruitment			
